epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5294,1.49668,3.26492,1.65467,0.41301,0.40664,0.37988,0.28138,1.59655,2.76275,1.80135,0.000331439,0.000331439,0.000331439
2,98.0552,1.47995,2.49481,1.62633,0.39333,0.38518,0.38207,0.272,1.7208,2.56927,1.86811,0.000653804,0.000653804,0.000653804
3,144.745,1.51137,2.33211,1.64764,0.55537,0.39845,0.37653,0.25183,1.78585,2.71652,1.8709,0.000965169,0.000965169,0.000965169
4,191.637,1.50565,2.24447,1.62793,0.50747,0.41428,0.40815,0.2995,1.70706,2.43545,1.86365,0.0009505,0.0009505,0.0009505
5,237.582,1.46912,2.09241,1.59248,0.59182,0.45855,0.46143,0.34368,1.62429,2.40743,1.76789,0.000934,0.000934,0.000934
6,283.71,1.41171,1.99436,1.56255,0.53969,0.45785,0.48296,0.33748,1.67695,2.16058,1.82782,0.0009175,0.0009175,0.0009175
7,330.173,1.4011,1.91932,1.55395,0.53974,0.52242,0.51242,0.38273,1.49524,2.06016,1.64331,0.000901,0.000901,0.000901
8,377.023,1.36102,1.86826,1.52156,0.5267,0.54971,0.53533,0.41103,1.46611,1.87901,1.59687,0.0008845,0.0008845,0.0008845
9,424.357,1.34338,1.81594,1.50596,0.57212,0.50151,0.53387,0.41011,1.49424,2.02462,1.638,0.000868,0.000868,0.000868
10,471.228,1.32146,1.8008,1.49048,0.62488,0.50757,0.54922,0.41714,1.46557,1.90878,1.62816,0.0008515,0.0008515,0.0008515
11,517.776,1.29803,1.74766,1.48601,0.60209,0.53502,0.55675,0.42917,1.49389,1.92089,1.641,0.000835,0.000835,0.000835
12,563.795,1.28223,1.6935,1.46725,0.56264,0.53823,0.54381,0.41992,1.43179,1.9688,1.60382,0.0008185,0.0008185,0.0008185
13,610.281,1.27854,1.69119,1.45912,0.60812,0.54764,0.56457,0.42751,1.40542,1.86387,1.55297,0.000802,0.000802,0.000802
14,655.801,1.25218,1.63616,1.43641,0.58069,0.55828,0.5482,0.43109,1.46002,1.91488,1.64912,0.0007855,0.0007855,0.0007855
15,701.924,1.25328,1.60462,1.43867,0.5507,0.606,0.57993,0.45208,1.39262,1.73437,1.5277,0.000769,0.000769,0.000769
16,747.348,1.24034,1.58324,1.42549,0.6137,0.55927,0.58679,0.46172,1.38451,1.74141,1.55484,0.0007525,0.0007525,0.0007525
17,792.985,1.23497,1.56477,1.41626,0.58211,0.55719,0.57972,0.44424,1.40133,1.8633,1.58631,0.000736,0.000736,0.000736
18,838.599,1.20675,1.51081,1.39767,0.65122,0.60265,0.6233,0.48237,1.3354,1.62522,1.47757,0.0007195,0.0007195,0.0007195
